source_institution,source_department,source_code,source_title,target_institution,target_department,target_code,target_title
Delgado Community College,English,ENGL 101,English Composition I,University of New Orleans,English,ENGL 1157,English Composition
Delgado Community College,English,ENGL 102,English Composition II,University of New Orleans,English,ENGL 1158,English Composition II
Delgado Community College,English,ENGL 110,Advanced English Composition,University of New Orleans,English,ENGL 1157,English Composition
Delgado Community College,English,ENGL 205,Introduction to Literature,University of New Orleans,English,ENGL 2238,Introduction to Literature
Delgado Community College,English,ENGL 206,World Literature,University of New Orleans,English,ENGL 2208,World Literature
Delgado Community College,English,ENGL 211,American Literature I,University of New Orleans,English,ENGL 2031,American Literature I
Delgado Community College,English,ENGL 212,American Literature II,University of New Orleans,English,ENGL 2032,American Literature II
Delgado Community College,English,ENGL 221,British Literature I,University of New Orleans,English,ENGL 2341,British Literature I
Delgado Community College,English,ENGL 222,British Literature II,University of New Orleans,English,ENGL 2342,British Literature II
Delgado Community College,English,ENGL 231,Creative Writing,University of New Orleans,English,ENGL 2371,Creative Writing
Delgado Community College,English,ENGL 243,Technical Writing,University of New Orleans,English,ENGL 2000NE,English Elective
Delgado Community College,English,ENGL 244,Business Writing,University of New Orleans,English,ENGL 2071,Business Writing
Delgado Community College,English,ENGL 245,Advanced Composition,University of New Orleans,English,ENGL 2378,Advanced Composition
Delgado Community College,English,ENGL 253,Children's Literature,University of New Orleans,English,ENGL 2377,Children's Literature
Delgado Community College,Mathematics,MATH 130,College Algebra,University of New Orleans,Mathematics,MATH 1125,College Algebra
Delgado Community College,Mathematics,MATH 131,Trigonometry,University of New Orleans,Mathematics,MATH 1126,Trigonometry
Delgado Community College,Mathematics,MATH 203,Calculus I,University of New Orleans,Mathematics,MATH 2314,Calculus I
Delgado Community College,Mathematics,MATH 221,Statistics,University of New Orleans,Mathematics,MATH 2114,Statistics
Delgado Community College,Fine Arts,FNAR 121,Art Appreciation,University of New Orleans,Fine Arts,FA 1010,Art Appreciation
Delgado Community College,Fine Arts,FNAR 125,Drawing I,University of New Orleans,Fine Arts,FA 2201,Drawing I
Delgado Community College,Fine Arts,FNAR 126,Drawing II,University of New Orleans,Fine Arts,FA 2202,Drawing II
Delgado Community College,Fine Arts,FNAR 127,Painting,University of New Orleans,Fine Arts,FA 2264,Painting
Delgado Community College,Music,MUSC 105,Music Appreciation,University of New Orleans,Music,MUS 1000,Music Appreciation
Delgado Community College,Music,MUSC 137,Music Theory,University of New Orleans,Music,MUS 1003,Music Theory
Delgado Community College,Theatre,THEA 101,Theatre Appreciation,University of New Orleans,Theatre,FTA 1000,Theatre Appreciation
