ccn,ccn_title,BPCC,BRCC,CLTCC,DCC,FTCC,LDCC,NCC,NTCC,RPCC,SLCC,STCC,LSU_AM,LSUA,LSUE,LSUS,GSU,LA_TECH,MCNEESE,NICHOLLS,NSU,SLU,ULL,ULM,UNO,SU_AM,SUNO,SUSLA
CACC 2113,Intro to Financial Accounting,ACCT 205,ACCT 2113,ACCT 2400,ACCT 205,ACCT 2100,ACCT 201,ACCT 2400,ACCT 2***,ACCT 2010,ACCT 2102 or 2103,ACCT 2030,ACCT 2001,ACCT 2001,ACCT 2001,ACCT 205,ACCT 201,ACCT 201,ACCT 208,ACCT 205,ACCT 2000,ACCT 200,ACCT 201,ACCT 2030,ACCT 2100,SACC 211B,ACCT 201N,ACCT 200S
CACC 2213,Intro to Managerial Accounting,ACCT 206,ACCT 2213,ACCT 2150,ACCT 211,ACCT 2110,ACCT 202,ACCT 2150,ACCT 2***,ACCT 2020,ACCT 2120,ACCT 2040,ACCT 2101,ACCT 2101,ACCT 2101,ACCT 206,ACCT 202,ACCT 202,ACCT 241,ACCT 206,ACCT 2010,ACCT 225,ACCT 202,ACCT 2020,ACCT 2130,SACC 221B,SACC 221N,ACCT 203S
CACC 2313,Principles of Accounting I,ACCT ***,ACCT 2313,ACCT 2110,ACCT 201,ACCT ***,ACCT 1100,ACCT 2110,ACCT 2***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT 2***,ACCT ***,ACCT ***,ACCT ***,***,ACCT ***,ACCT 202S
CACC 2323,Principles of Accounting II,ACCT ***,ACCT 2323,ACCT 2120,ACCT 202,ACCT ***,ACCT 1200,ACCT 2020,ACCT 2***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT 2***,ACCT ***,ACCT ***,ACCT ***,***,ACCT ***,ACCT 203S
CACC 2413,Computerized Accounting,ACCT 212,ACCT 2413,ACCT 2100,ACCT 221 or 222,ACCT 2500,ACCT 210 or 1500,ACCT 2100,ACCT 2***,ACCT 2413,ACCT 2115,ACCT 1210 or 1510,ACCT ***,ACCT ***,ACCT 2105,ACCT **,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT 1040,ACCT 2***,ACCT ***,ACCT ***,ACCT ***,***,ACCT ***,ACCT 220S
CACC 2513,Payroll,ACCT 218,ACCT 2513,ACCT ***,ACCT 218,ACCT 2250,ACCT1 250,ACCT ***,ACCT 2***,ACCT 1250,ACCT 2110,ACCT 1250,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT 2***,ACCT ***,ACCT ***,ACCT ***,***,ACCT ***,ACCT ***
CACC 2613,Tax Accounting/Indiv idual,ACCT 210,ACCT 2613,ACCT 2200,ACCT 214,ACCT 2700,ACCT 214,ACCT 2200,ACCT 2***,ACCT ***,ACCT ***,ACCT 1150,ACCT ***,ACCT ***,ACCT 2030,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT 2***,ACCT ***,ACCT ***,ACCT ***,***,ACCT ***,ACCT 261S
CACC 2713,Intermediate Accounting I (Lower Level),ACCT ***,ACCT ***,ACCT ***,ACCT 212,ACCT 2300,ACCT 1300,ACCT ***,ACCT 2***,ACCT 2210,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT 2***,ACCT ***,ACCT ***,ACCT ***,***,ACCT ***,ACCT 271S
CACC 3113,Cost Accounting (Upper Level),ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,,ACCT ***,ACCT ***,ACCT ***,ACCT 3121,ACCT 3121,ACCT ***,ACCT 330,ACCT 305,ACCT 308,ACCT 311,ACCT 306,ACCT 3080,ACCT 331,ACCT 305,ACCT 3020,ACCT 3131,ACCT 320B,SACC 311N,ACCT ***
CACC 3213,Tax I (Upper Level),ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,,ACCT ***,ACCT ***,ACCT ***,ACCT 3221,ACCT 3121,ACCT ***,ACCT 320,ACCT ***,ACCT 307,ACCT 317,ACCT 407,ACCT 3060,ACCT 341,ACCT 420,ACCT 3030,ACCT 3152,ACCT 310B,ACCT 421N,ACCT ***
CACC 3223,Tax II (Upper Level),ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,,ACCT ***,ACCT ***,ACCT ***,ACCT 4221,ACCT 3221,ACCT ***,ACCT 420,ACCT 304,ACCT 406,ACCT 319,ACCT 408,ACCT 4140,ACCT 442,ACCT 421,ACCT 4031,ACCT 4152,***,ACCT ***,ACCT ***
CACC 3313,Auditing (Upper Level),ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,,ACCT ***,ACCT ***,ACCT ***,ACCT 3***,ACCT 4123,ACCT ***,ACCT 440,ACCT 400,ACCT 413,ACCT 415,ACCT 403,ACCT 4080,ACCT 407,ACCT 409,ACCT 4020,ACCT 3161,ACCT 430B,ACCT 462 N,ACCT ***
CARB 1013 (3 Hr),Elementary Arabic I (3-4 credit hours),ARAB ***,GHUM 3,CLAN 3,GHUM 3 or CLAN 3,GHUM 3,ARAB ***,GHUM 3,ARAB ***,GHUM 3,GHUM 3,GHUM 3,ARAB ***,CLAN 3,GHUM (3-4),ARAB ***,CLAN 3,ARAB ***,,GHUM 3,FORL ***,FLAN 1***,ARAB 101,ARAB 1001,GHUM 3,ARAB 100,ARAB ***,GHUM 3
CARB 1014 (4 Hr),,ARAB ***,GHUM 3,,GHUM 4,GHUM 3,ARAB ***,ARAB ***,ARAB ***,GHUM 4,GHUM 3,GHUM 3,ARAB 1101,,GHUM (3-4),ARAB ***,,ARAB ***,,,FORL ***,FLAN 1***,,,,,ARAB ***,
CARB 1023 (3 Hr),Elementary Arabic II (3-4 credit hours),ARAB ***,GHUM 3,CLAN 3,GHUM 3,GHUM 3,ARAB ***,GHUM 3,ARAB ***,GHUM 3,GHUM 3,GHUM 3,ARAB ***,CLAN 3,GHUM (3-4),ARAB ***,CLAN 3,ARAB ***,,GHUM 3,FORL ***,FLAN 1***,ARAB 102,ARAB 1002,GHUM 3,ARAB 101,ARAB ***,GHUM 3
CARB 1024 (4 Hr),,ARAB ***,GHUM 3,,GHUM 4,GHUM 3,ARAB ***,ARAB ***,ARAB ***,GHUM 4,GHUM 3,GHUM 3,ARAB 1102,,GHUM (3-4),ARAB ***,,ARAB ***,,,FORL ***,FLAN 1***,,,,,ARAB ***,ARAB ***
CART 1013,Exploring the Arts,GFAR 3,GFAR 3,FIAR 1100,GFAR or CART 3,GFAR 3,HUMN 250,GFAR 3,GFAR 3,ARTS 1100,GFAR 3,GFAR 3,GFAR 3,FIAR 1003,GFAR 3,GFAR 3,ARTR 210,GFAR 3,ARTS 151,GFAR 3,FA 1040,GFAR 3,GFAR 3,GHUM 3,ARTS 1000,GFAR 3,GFAR 3,SFIA 101S
CART 1023,Intro to Visual Arts,ART 206,ARTS 1023,FIAR 1200,FNAR 121,ARTS 1200,ARTS 120,FIAR 1200,GFAR 3,ARTS 1010,GFAR 3,ARTS 1200,ART 1001,FIAR 1001,GFAR 3,FA 140,ART 105,ART 290,ART 251,ART 110,GFAR 3,GFAR 3,VIAR 120,ART 1009,FA 1010,SFIA 101B,FIAR 101N,SFIA 101S
CART 1113,Art Structure/2- D Design,ART 101,ARTS 1113,GFAR 3,GFAR 3,ARTS 2510,ARTS 105,GFAR 3,GFAR 3,GFAR 3,GFAR 3,GFAR 3,ART 1008,FIAR 1551,ART 1011,DA 150,ART 103,ART 115,ART 101,ART 251,ART 2560,ART 151 or 154,VIAR 101,ART 1001,FA 1050,,FIAR 120N,GFAR 3
CART 1123,3-D Design,ART 250,ARTS 1123,FIAR 1010,FNAR 158,GFAR 3,ARTS 107,FIAR 1010,GFAR 3,GFAR 3,GFAR 3,GFAR 3,ART 1009,GFAR 3,GFAR 3,FA 180,ART 217,ART 118,ART 245,ART 240,ART 1020,ART 153,VIAR 102,ART 1002,,,FIAR 222N,GFAR 3
CART 2103,Art History I,ART 201,ARTS 2103,FIAR 2400,FNAR 125,ARTS 2800,ARTS 201,FIAR 2400,ARTS 1010,ARTS 2510,ARTS 1100,GFAR 3,ARTH 1440,FIAR 2440,ART 1440,FA 240,ART 215,ART 266,ART 261,ART 280,GFAR 3,ART 105,VIAR 121,ART 2001,FA 2201,GFAR 3,FIAR ***,SFIA 101S
CART 2113,Art History II,ART 202,ARTS 2113,FIAR 2410,FNAR 126,ARTS 2810,ARTS 202,FIAR 2410,ARTS 1020,ARTS 2520,ARTS 1200,GFAR 3,ARTH 1441,FIAR 2441,ART 1441,FA 241,ART 216,ART 267,ART 262,ART 282,GFAR 3,ART 106,VIAR 122,ART 2002,FA 2202,GFAR 3,FIAR ***,SFIA 101S
CART 2203,Beginning Drawing,ART 103,ARTS 2203,FIAR 1000,FNAR 103,ARTS 2010,ARTS 103,FIAR 1000,ARTS 1000,ARTS 2100,ARTS 1210,GFAR 3,ART 1010,FIAR 1847,ART 1847,FA 100,ART 101,ART 125,ART 217,ART 201,ART 1060,ART 111,VIAR 111,ART 1003,FA 1060,SFIA 220B,FIAR 110N,SFIA 220S
CART 2213,Figure Drawing,ART ***,ARTS 2213,FIAR 1150,FNAR 212,ARTS 2030,ARTS 104,FIAR 1150,GFAR 3,GFAR 3,GFAR 3,GFAR 3,ART 1848,FIAR 1848,ART 1848,FA 200,ART 102,ART 225,GFAR 3,ART ***,ART 2120,ART 112,VIAR 211,ART 1004,FA 1061,GFAR 3,FIAR 211N,SFIA 221S
CART 2303,Color Theory,ART 210,GFAR 3,GFAR 3,GFAR 3,ARTS 2520,ARTS 106,GFAR 3,GFAR 3,GFAR 3,GFAR 3,ARTS 2303,ART 2552,FIAR 2552,GFAR 3,GFAR 3,ART 104,ART 116,ART 102,ART 252,ART 1010,ART 151,GFAR 3,Art ***,,GFAR 3,FIAR ***,SFIA 111S
