code,title,description,credits,institution,department,prerequisites,
ASLS 101,AMERICAN SIGN LANGUAGE I ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
ENGL 101,ENGLISH COMPOSITION I ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
ENGL 102,ENGLISH COMPOSITION II ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
ENGL 110,INTENSIVE ENGLISH COMPOSITION I ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
ENGL 112,WRITING FOR BUSINESS AND INDUSTRY ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
ENGL 205,INTRODUCTION TO SHORT STORY AND NOVEL ,,5,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
ENGL 206,INTRODUCTION TO POETRY AND DRAMA ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
ENGL 207,INTRODUCTION TO LITERATURE,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
ENGL 211,AMERICAN LITERATURE TO 1865 ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
ENGL 212,AMERICAN LITERATURE AFTER 1865 ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
ENGL 221,BRITISH LITERATURE TO 1798 ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
ENGL 222,BRITISH LITERATURE AFTER 1798 ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
ENGL 231,WORLD LITERATURE I ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
ENGL 232,WORLD LITERATURE II ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
ENGL 235,Major World Writers,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
ENGL 240,CURRENT TOPICS IN LITERATURE ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
ENGL 241,CURRENT TOPICS IN LITERATURE ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
ENGL 243,ETHNIC LITERATURE ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
ENGL 244,AFRICAN-AMERICAN WRITERS ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
ENGL 245,Introduction to Women�s Literature,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
ENGL 251,CREATIVE WRITING ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
ENGL 253,THE BIBLE AS LITERATURE ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
CMST 130,FUNDAMENTALS OF COMMUNICATION ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
CMST 230,PUBLIC SPEAKING ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
FNAR 120,ART APPRECIATION ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
FNAR 121,Introduction to Visual Arts,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
FNAR 125,ART HISTORY SURVEY I ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
FNAR 126,ART HISTORY SURVEY II ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
FNAR 127,CONTEMPORARY ART ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
FNAR 158,THREE-DIMENSIONAL DESIGN ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
MUSC 105,MUSIC APPRECIATION ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
MUSC 108,"Pop Music: Legends of Performance, Culture, and Business",,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
MUSC 137,JAZZ APPRECIATION ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
THEA 101,INTRODUCTION TO THE THEATRE ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
THEA 207,CLASSICAL THEATRE ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
THEA 209,Modern Theatre,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
ARCH 180,HISTORY AND THEORY OF ARCHITECTURE ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
FREN 101,ELEMENTARY FRENCH I ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
FREN 102,ELEMENTARY FRENCH II ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
FREN 125,FRENCH CULTURE AROUND THE WORLD ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
FREN 201,INTERMEDIATE FRENCH I ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
FREN 202,INTERMEDIATE FRENCH II ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
FREN 225,PERSPECTIVES ON CONTEMPORARY FRENCH CULTURE ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
HIST 101,EARLY WESTERN CIVILIZATION ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
HIST 102,MODERN WESTERN CIVILIZATION ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
HIST 103,WORLD HISTORY I ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
HIST 105,WORLD HISTORY II ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
HIST 141,AFRICAN-AMERICAN HISTORY ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
HIST 205,AMERICAN HISTORY TO 1865 ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
HIST 206,AMERICAN HISTORY AFTER 1865 ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
HIST 240,SPECIAL TOPICS IN HISTORY ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
HIST 241,SPECIAL TOPICS IN HISTORY ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
HIST 242,American Womens History,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
HIST 260,LOUISIANA HISTORY ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
HUMA 105,HUMANITIES THROUGH THE ARTS ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
HUMA 150,STRUCTURE OF WESTERN THOUGHT: ANCIENT GREECE ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
HUMA 211,Humanities I,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
HUMA 212,Humanities II,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
HUMA 220,MODERNISM IN THE ARTS ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
HUMA 260,ACTIVISM AND CHANGE ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
PHIL 101,INTRODUCTION TO PHILOSOPHY ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
PHIL 175,SOCIAL ETHICS ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
SPAN 101,ELEMENTARY SPANISH I ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
SPAN 102,ELEMENTARY SPANISH II ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
SPAN 201,INTERMEDIATE SPANISH I ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
