code,title,description,credits,institution,department,prerequisites
ENEE 5533,Digital Control System Design,,3,University Of New Orleans,College of Engineering,
ACCT 2100,Principles of Accounting,,3,University Of New Orleans,College of Business Administration,
ACCT 2130,Management Accounting,,3,University Of New Orleans,College of Business Administration,
ACCT 3090,Internship in Accounting,,3,University Of New Orleans,College of Business Administration,
ACCT 3091,Internship in Accounting,,3,University Of New Orleans,College of Business Administration,
ACCT 3120,Accounting Lab,,3,University Of New Orleans,College of Business Administration,
ACCT 3121,Intermediate Accounting I,,3,University Of New Orleans,College of Business Administration,
ACCT 3122,Intermediate Accounting II,,3,University Of New Orleans,College of Business Administration,
ACCT 3123,Adv Financial Accounting,,3,University Of New Orleans,College of Business Administration,
ACCT 3124,Governmental Accounting,,3,University Of New Orleans,College of Business Administration,
ACCT 3131,Cost Accounting I,,3,University Of New Orleans,College of Business Administration,
ACCT 3141,Accounting Info Systems,,3,University Of New Orleans,College of Business Administration,
ACCT 3152,Tax Accounting I,,3,University Of New Orleans,College of Business Administration,
ACCT 3161,Auditing,,3,University Of New Orleans,College of Business Administration,
ACCT 3191,Independent Study,,3,University Of New Orleans,College of Business Administration,
ACCT 3999,Senior Honors Thesis,,3,University Of New Orleans,College of Business Administration,
ACCT 4110,CPA Review,,3,University Of New Orleans,College of Business Administration,
ACCT 4142,IT Auditing & Advanced Accounting Information Systems,,3,University Of New Orleans,College of Business Administration,
ACCT 4152,Tax Accounting II,,3,University Of New Orleans,College of Business Administration,
ACCT 4153,Individual Tax Planning,,3,University Of New Orleans,College of Business Administration,
ACCT 4154,Estate & Gift Taxation,,3,University Of New Orleans,College of Business Administration,
ACCT 4162,Advanced Auditing,,3,University Of New Orleans,College of Business Administration,
ACCT 4167,Internal Auditing,,3,University Of New Orleans,College of Business Administration,
ACCT 4168,Operational Auditing,,3,University Of New Orleans,College of Business Administration,
ACCT 4190,Contemporary Accounting Topics,,3,University Of New Orleans,College of Business Administration,
ACCT 4195,Internship Internal Auditing,,3,University Of New Orleans,College of Business Administration,
ACCT 5110,CPA Review,,3,University Of New Orleans,College of Business Administration,
ACCT 5142,IT Auditing & Advanced Accounting Information Systems,,3,University Of New Orleans,College of Business Administration,
ACCT 5152,Tax Accounting II,,3,University Of New Orleans,College of Business Administration,
ACCT 5153,Individual Tax Planning,,3,University Of New Orleans,College of Business Administration,
ACCT 5154,Estate & Gift Taxation,,3,University Of New Orleans,College of Business Administration,
ACCT 5162,Advanced Auditing,,3,University Of New Orleans,College of Business Administration,
ACCT 5167,Internal Auditing,,3,University Of New Orleans,College of Business Administration,
ACCT 5168,Operational Auditing,,3,University Of New Orleans,College of Business Administration,
ACCT 5180,Oil & Gas Accounting,,3,University Of New Orleans,College of Business Administration,
ACCT 5190,Contemporary Accounting Topics,,3,University Of New Orleans,College of Business Administration,
ACCT 5400,Intro to Fin Acct,,3,University Of New Orleans,College of Business Administration,
ACCT 6125,Studies in Accounting Theory,,3,University Of New Orleans,College of Business Administration,
ACCT 6130,Adv Acct Analy Decision Making,,3,University Of New Orleans,College of Business Administration,
ACCT 6131,Accounting in Health Care,,3,University Of New Orleans,College of Business Administration,
ACCT 6133,Study in Managerial Accounting,,3,University Of New Orleans,College of Business Administration,
ACCT 6143,Sem Accounting Info System,,3,University Of New Orleans,College of Business Administration,
ACCT 6151,Federal Tax Practice,,3,University Of New Orleans,College of Business Administration,
ACCT 6153,Tax Corp & Shareholders,,3,University Of New Orleans,College of Business Administration,
ACCT 6156,Adv Tax of Partners,,3,University Of New Orleans,College of Business Administration,
ACCT 6159,International Taxation,,3,University Of New Orleans,College of Business Administration,
ACCT 6163,Seminar in Auditing,,3,University Of New Orleans,College of Business Administration,
ACCT 6167,Internal Auditing Concepts,,3,University Of New Orleans,College of Business Administration,
ACCT 6168,Internal/Operational Auditing,,3,University Of New Orleans,College of Business Administration,
ACCT 6169,Fraud Examination,,3,University Of New Orleans,College of Business Administration,
ACCT 6173,State & Local Taxation,,3,University Of New Orleans,College of Business Administration,
ACCT 6185,Strategic Business Planning,,3,University Of New Orleans,College of Business Administration,
ACCT 6190,Contemporary Tax Acct Topics,,3,University Of New Orleans,College of Business Administration,
ACCT 6191,Sem Contemporary Acct Topics,,3,University Of New Orleans,College of Business Administration,
ACCT 6192,Special Topic Accounting,,3,University Of New Orleans,College of Business Administration,
ACCT 6194,Internship in Accounting,,3,University Of New Orleans,College of Business Administration,
ACCT 6195,Directed Study,,3,University Of New Orleans,College of Business Administration,
ACCT 7040,Examination or Report Only,,3,University Of New Orleans,College of Business Administration,
AERO 1001,Foundations USAF I,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
AERO 1002,Foundations USAF II,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
AERO 1041,Foundations USAF I Lab,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
AERO 1042,Foundations USAF II Lab,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
AERO 1201,Evolut. of USAF Air and Space,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
