program_name,category,credits_required,requirement_type,semester,year,is_current,group_name,courses_required,credits_required_group,course_option,institution,is_preferred,description,group_description,option_notes
Transfer Degree A.S - Bio Concentration,English Composition,6,grouped,Fall,2025,TRUE,English Comp Group 1,1,3,ENGL 101,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,English Composition,6,grouped,Fall,2025,TRUE,English Comp Group 1,1,3,ENGL 102,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,English Composition,6,grouped,Fall,2025,TRUE,English Comp Group 2,1,3,ENGL 110,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Math/Analytical Reasoning,6,grouped,Fall,2025,TRUE,Math Group 1,1,3,MATH 130,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Math/Analytical Reasoning,6,grouped,Fall,2025,TRUE,Math Group 2,1,3,MATH 131,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Math/Analytical Reasoning,6,grouped,Fall,2025,TRUE,Math Group 2,1,3,MATH 203,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Math/Analytical Reasoning,6,grouped,Fall,2025,TRUE,Math Group 2,1,3,MATH 203,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Math/Analytical Reasoning,6,grouped,Fall,2025,TRUE,Math Group 2,1,3,MATH 221,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Fine Arts,3,simple,Fall,2025,TRUE,Fine Arts Group 1,1,3,FNAR 121,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Fine Arts,3,simple,Fall,2025,TRUE,Fine Arts Group 1,1,3,FNAR 125,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Fine Arts,3,simple,Fall,2025,TRUE,Fine Arts Group 1,1,3,FNAR 126,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Fine Arts,3,simple,Fall,2025,TRUE,Fine Arts Group 1,1,3,FNAR 127,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Fine Arts,3,simple,Fall,2025,TRUE,Fine Arts Group 1,1,3,FNAR 158,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Fine Arts,3,simple,Fall,2025,TRUE,Fine Arts Group 1,1,3,MUSC 105,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Fine Arts,3,simple,Fall,2025,TRUE,Fine Arts Group 1,1,3,MUSC 108,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Fine Arts,3,simple,Fall,2025,TRUE,Fine Arts Group 1,1,3,MUSC 137,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Fine Arts,3,simple,Fall,2025,TRUE,Fine Arts Group 1,1,3,THEA 101,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Fine Arts,3,simple,Fall,2025,TRUE,Fine Arts Group 1,1,3,THEA 207,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Fine Arts,3,simple,Fall,2025,TRUE,Fine Arts Group 1,1,3,THEA 209,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 1,1,3,ENGL 205,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 1,1,3,ENGL 206,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 1,1,3,ENGL 206,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 1,1,3,ENGL 211,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 1,1,3,ENGL 212,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 1,1,3,ENGL 221,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 1,1,3,ENGL 222,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 1,1,3,ENGL 231,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 1,1,3,ENGL 232,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 1,1,3,ENGL 243,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 1,1,3,ENGL 244,Delgado Community College,,,,
