program_name,category,requirement_type,semester,year,is_current,group_name,course_code,institution,is_preferred,constraint_type,description,min_credits,max_credits,min_level,min_courses,max_courses,tag,tag_value,scope_subject_codes
Transfer Degree A.S - Bio Concentration,English Composition,grouped,Fall,2025,TRUE,English Comp Group 1,ENGL 101,Delgado Community College,,credits,,,6,,,,,,ENGL
Transfer Degree A.S - Bio Concentration,English Composition,grouped,Fall,2025,TRUE,English Comp Group 1,ENGL 102,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,English Composition,grouped,Fall,2025,TRUE,English Comp Group 2,ENGL 110,Delgado Community College,,credits,,,3,,,,,,ENGL
Transfer Degree A.S - Bio Concentration,Math/Analytical Reasoning,grouped,Fall,2025,TRUE,Math Group 1,MATH 130,Delgado Community College,,credits,,,3,,,,,,MATH
Transfer Degree A.S - Bio Concentration,Math/Analytical Reasoning,grouped,Fall,2025,TRUE,Math Group 2,MATH 131,Delgado Community College,,credits,,,3,,,,,,MATH
Transfer Degree A.S - Bio Concentration,Math/Analytical Reasoning,grouped,Fall,2025,TRUE,Math Group 2,MATH 203,Delgado Community College,,level,,6,,2000,,,,,MATH
Transfer Degree A.S - Bio Concentration,Math/Analytical Reasoning,grouped,Fall,2025,TRUE,Math Group 2,MATH 203,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Math/Analytical Reasoning,grouped,Fall,2025,TRUE,Math Group 2,MATH 221,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Fine Arts,simple,Fall,2025,TRUE,Fine Arts Group 1,FNAR 121,Delgado Community College,,credits,,3,,,,,,,
Transfer Degree A.S - Bio Concentration,Fine Arts,simple,Fall,2025,TRUE,Fine Arts Group 1,FNAR 125,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Fine Arts,simple,Fall,2025,TRUE,Fine Arts Group 1,FNAR 126,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Fine Arts,simple,Fall,2025,TRUE,Fine Arts Group 1,FNAR 127,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Fine Arts,simple,Fall,2025,TRUE,Fine Arts Group 1,FNAR 158,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Fine Arts,simple,Fall,2025,TRUE,Fine Arts Group 1,MUSC 105,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Fine Arts,simple,Fall,2025,TRUE,Fine Arts Group 1,MUSC 108,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Fine Arts,simple,Fall,2025,TRUE,Fine Arts Group 1,MUSC 137,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Fine Arts,simple,Fall,2025,TRUE,Fine Arts Group 1,THEA 101,Delgado Community College,,,,,,,,,,,
