code,title,description,credits,institution,department,prerequisites
ASLS 101,AMERICAN SIGN LANGUAGE I,,3,Delgado Community College,ASLS,
EDSP 1001,BASIC SIGN LANGUAGE I,,3,University of New Orleans,EDSP,
ENGL 101,ENGLISH COMPOSITION I,,3,Delgado Community College,ENGL,
ENGL 1157,ENGLISH COMPOSITION,,3,University of New Orleans,ENGL,
ENGL 102,ENGLISH COMPOSITION II,,3,Delgado Community College,ENGL,
ENGL 1158,ENGLISH COMPOSITION,,3,University of New Orleans,ENGL,
ENGL 110,INTENSIVE ENGLISH COMPOSITION I,,5,Delgado Community College,ENGL,
ENGL 112,WRITING FOR BUSINESS AND INDUSTRY,,3,Delgado Community College,ENGL,
ENGL 2152,TECHNICAL WRITING,,3,University of New Orleans,ENGL,
ENGL 205,INTRODUCTION TO SHORT STORY AND NOVEL,,3,Delgado Community College,ENGL,
ENGL 2238,READING FICTION,,3,University of New Orleans,ENGL,
ENGL 206,INTRODUCTION TO POETRY AND DRAMA,,3,Delgado Community College,ENGL,
ENGL 2208,READING DRAMA,,3,University of New Orleans,ENGL,
ENGL 211,AMERICAN LITERATURE TO 1865,,3,Delgado Community College,ENGL,
ENGL 2031,SURVEY OF AMERICAN LITERATURE BEFORE THE CIVIL WAR,,3,University of New Orleans,ENGL,
ENGL 212,AMERICAN LITERATURE AFTER 1865,,3,Delgado Community College,ENGL,
ENGL 2032,SURVEY OF AMERICAN LITERATURE AFTER THE CIVIL WAR,,3,University of New Orleans,ENGL,
ENGL 221,BRITISH LITERATURE TO 1798,,3,Delgado Community College,ENGL,
ENGL 2341,A SURVEY OF BRITISH LITERATURE FROM THE BEGINNING TO THE LATER EIGHTEENTH CENTURY,,3,University of New Orleans,ENGL,
ENGL 222,BRITISH LITERATURE AFTER 1798,,3,Delgado Community College,ENGL,
ENGL 2342,A SURVEY OF BRITISH LITERATURE FROM THE ROMANTICS TO THE PRESENT,,3,University of New Orleans,ENGL,
ENGL 231,WORLD LITERATURE I,,3,Delgado Community College,ENGL,
ENGL 232,WORLD LITERATURE II,,3,Delgado Community College,ENGL,
ENGL 240,CURRENT TOPICS IN LITERATURE,,3,Delgado Community College,ENGL,
ENGL 2398,SPECIAL STUDIES IN LITERATURE AND LANGUAGE,,3,University of New Orleans,ENGL,
ENGL 241,CURRENT TOPICS IN LITERATURE,,3,Delgado Community College,ENGL,
ENGL 243,ETHNIC LITERATURE,,3,Delgado Community College,ENGL,
ENGL 244,AFRICAN-AMERICAN WRITERS,,3,Delgado Community College,ENGL,
ENGL 2071,AFRICAN-AMERICAN LITERATURE I,,3,University of New Orleans,ENGL,
ENGL 251,CREATIVE WRITING,,3,Delgado Community College,ENGL,
ENGL 2160,INTRODUCTION TO CREATIVE WRITING,,3,University of New Orleans,ENGL,
ENGL 253,THE BIBLE AS LITERATURE,,3,Delgado Community College,ENGL,
ENGL 2377,THE BIBLE AS LITERATURE,,3,University of New Orleans,ENGL,
CMST 130,FUNDAMENTALS OF COMMUNICATION,,3,Delgado Community College,CMST,
CMST 230,PUBLIC SPEAKING,,3,Delgado Community College,CMST,
FTA 2650,ORAL COMMUNICATIONS,,3,University of New Orleans,FTA,
FNAR 120,ART APPRECIATION,,3,Delgado Community College,FNAR,
FA 1010,ART APPRECIATION,,3,University of New Orleans,FA,
FNAR 125,ART HISTORY SURVEY I,,3,Delgado Community College,FNAR,
FA 2201,HISTORICAL SURVEY OF THE ARTS,,3,University of New Orleans,FA,
FNAR 126,ART HISTORY SURVEY II,,3,Delgado Community College,FNAR,
FA 2202,HISTORICAL SURVEY OF THE ARTS,,3,University of New Orleans,FA,
FNAR 127,CONTEMPORARY ART,,3,Delgado Community College,FNAR,
FA 2264,ART OF THE TWENTIETH CENTURY,,3,University of New Orleans,FA,
FNAR 158,THREE-DIMENSIONAL DESIGN,,3,Delgado Community College,FNAR,
MUSC 105,MUSIC APPRECIATION,,3,Delgado Community College,MUSC,
MUS 1000,MUSIC APPRECIATION,,3,University of New Orleans,MUS,
MUSC 137,JAZZ APPRECIATION,,3,Delgado Community College,MUSC,
THEA 101,INTRODUCTION TO THE THEATRE,,3,Delgado Community College,THEA,
FTCA 1005,INTRODUCTION TO THEATRE ARTS,,3,University of New Orleans,FTCA,
THEA 207,CLASSICAL THEATRE,,3,Delgado Community College,THEA,
ARCH 180,HISTORY AND THEORY OF ARCHITECTURE,,3,Delgado Community College,ARCH,
FREN 101,ELEMENTARY FRENCH I,,3,Delgado Community College,FREN,
FREN 1001,BASIC FRENCH I,,3,University of New Orleans,FREN,
FREN 102,ELEMENTARY FRENCH II,,3,Delgado Community College,FREN,
FREN 1002,BASIC FRENCH II,,3,University of New Orleans,FREN,
FREN 125,FRENCH CULTURE AROUND THE WORLD,,3,Delgado Community College,FREN,
FREN 201,INTERMEDIATE FRENCH I,,3,Delgado Community College,FREN,
FREN 2001,INTERMEDIATE FRENCH I,,3,University of New Orleans,FREN,
FREN 202,INTERMEDIATE FRENCH II,,3,Delgado Community College,FREN,
FREN 2002,INTERMEDIATE FRENCH II,,3,University of New Orleans,FREN,
FREN 225,PERSPECTIVES ON CONTEMPORARY FRENCH CULTURE,,3,Delgado Community College,FREN,
HIST 101,EARLY WESTERN CIVILIZATION,,3,Delgado Community College,HIST,
HIST 102,MODERN WESTERN CIVILIZATION,,3,Delgado Community College,HIST,
HIST 103,WORLD HISTORY I,,3,Delgado Community College,HIST,
HIST 1001,WORLD HISTORY TO 1600,,3,University of New Orleans,HIST,
HIST 105,WORLD HISTORY II,,3,Delgado Community College,HIST,
HIST 141,AFRICAN-AMERICAN HISTORY,,3,Delgado Community College,HIST,
HIST 1010,INTRODUCTION TO AFRICAN-AMERICAN HISTORY,,3,University of New Orleans,HIST,
HIST 205,AMERICAN HISTORY TO 1865,,3,Delgado Community College,HIST,
HIST 2501,U.S. HISTORY I,,3,University of New Orleans,HIST,
HIST 206,AMERICAN HISTORY AFTER 1865,,3,Delgado Community College,HIST,
HIST 2502,U.S. HISTORY II,,3,University of New Orleans,HIST,
HIST 240,SPECIAL TOPICS IN HISTORY,,3,Delgado Community College,HIST,
HIST 241,SPECIAL TOPICS IN HISTORY,,3,Delgado Community College,HIST,
HIST 260,LOUISIANA HISTORY,,3,Delgado Community College,HIST,
HIST 2601,HISTORY OF LOUISIANA,,3,University of New Orleans,HIST,
HUMA 105,HUMANITIES THROUGH THE ARTS,,3,Delgado Community College,HUMA,
HUMA 150,STRUCTURE OF WESTERN THOUGHT: ANCIENT GREECE,,3,Delgado Community College,HUMA,
