code,title,description,credits,institution,department,prerequisites,has_lab,course_type
ASLS 101,AMERICAN SIGN LANGUAGE I,,3,Delgado Community College,ASLS,,false,lecture
EDSP 1001,BASIC SIGN LANGUAGE I,,3,University of New Orleans,EDSP,,false,lecture
ENGL 101,ENGLISH COMPOSITION I,,3,Delgado Community College,ENGL,,false,lecture
ENGL 1157,ENGLISH COMPOSITION,,3,University of New Orleans,ENGL,,false,lecture
ENGL 102,ENGLISH COMPOSITION II,,3,Delgado Community College,ENGL,,false,lecture
ENGL 1158,ENGLISH COMPOSITION,,3,University of New Orleans,ENGL,,false,lecture
ENGL 110,INTENSIVE ENGLISH COMPOSITION I,,5,Delgado Community College,ENGL,,false,lecture
ENGL 112,WRITING FOR BUSINESS AND INDUSTRY,,3,Delgado Community College,ENGL,,false,lecture
ENGL 2152,TECHNICAL WRITING,,3,University of New Orleans,ENGL,,false,lecture
ENGL 205,INTRODUCTION TO SHORT STORY AND NOVEL,,3,Delgado Community College,ENGL,,false,lecture
ENGL 2238,READING FICTION,,3,University of New Orleans,ENGL,,false,lecture
ENGL 206,INTRODUCTION TO POETRY AND DRAMA,,3,Delgado Community College,ENGL,,false,lecture
ENGL 2208,READING DRAMA,,3,University of New Orleans,ENGL,,false,lecture
ENGL 211,AMERICAN LITERATURE TO 1865,,3,Delgado Community College,ENGL,,false,lecture
ENGL 2031,SURVEY OF AMERICAN LITERATURE BEFORE THE CIVIL WAR,,3,University of New Orleans,ENGL,,false,lecture
ENGL 212,AMERICAN LITERATURE AFTER 1865,,3,Delgado Community College,ENGL,,false,lecture
ENGL 2032,SURVEY OF AMERICAN LITERATURE AFTER THE CIVIL WAR,,3,University of New Orleans,ENGL,,false,lecture
ENGL 221,BRITISH LITERATURE TO 1798,,3,Delgado Community College,ENGL,,false,lecture
ENGL 2341,A SURVEY OF BRITISH LITERATURE FROM THE BEGINNING TO THE LATER EIGHTEENTH CENTURY,,3,University of New Orleans,ENGL,,false,lecture
ENGL 222,BRITISH LITERATURE AFTER 1798,,3,Delgado Community College,ENGL,,false,lecture
ENGL 2342,A SURVEY OF BRITISH LITERATURE FROM THE ROMANTICS TO THE PRESENT,,3,University of New Orleans,ENGL,,false,lecture
ENGL 231,WORLD LITERATURE I,,3,Delgado Community College,ENGL,,false,lecture
ENGL 232,WORLD LITERATURE II,,3,Delgado Community College,ENGL,,false,lecture
ENGL 240,CURRENT TOPICS IN LITERATURE,,3,Delgado Community College,ENGL,,false,lecture
ENGL 2398,SPECIAL STUDIES IN LITERATURE AND LANGUAGE,,3,University of New Orleans,ENGL,,false,lecture
ENGL 241,CURRENT TOPICS IN LITERATURE,,3,Delgado Community College,ENGL,,false,lecture
