program_name,category,requirement_type,semester,year,is_current,group_name,course_code,institution,is_preferred,constraint_type,description,min_credits,max_credits,min_level,min_courses,max_courses,tag,tag_value,scope_subject_codes
"Biology B.S.","BIOS Electives",grouped,Fall,2025,true,"Electives",BIOS 300,"State University",false,min_level_credits,"At least 10 credits at 3000+ level with 2 lab courses",10,,3000,2,,has_lab,true,BIOS
"Biology B.S.","BIOS Electives",grouped,Fall,2025,true,"Electives",BIOS 301,"State University",true,,,,,,,,,,
"Biology B.S.","BIOS Electives",grouped,Fall,2025,true,"Electives",BIOS 305,"State University",false,,,,,,,,,,
"Biology B.S.","BIOS Electives",grouped,Fall,2025,true,"Electives",BIOS 401,"State University",false,,,,,,,,,,
"Biology B.S.","BIOS Electives",grouped,Fall,2025,true,"Electives",BIOS 402,"State University",false,,,,,,,,,,
"Biology B.S.","Humanities",grouped,Fall,2025,true,"Literature & Writing",ENG 205,"State University",false,courses,"Choose 2 literature/writing courses",,,,,2,,,,
"Biology B.S.","Humanities",grouped,Fall,2025,true,"Literature & Writing",ENG 210,"State University",true,,,,,,,,,,
"Biology B.S.","Humanities",grouped,Fall,2025,true,"Literature & Writing",LIT 101,"Community College",false,,,,,,,,,,
"Biology B.S.","Humanities",grouped,Fall,2025,true,"Philosophy",PHIL 101,"State University",true,courses,"Choose 1 philosophy course",,,,,1,,,,
"Biology B.S.","Humanities",grouped,Fall,2025,true,"Philosophy",PHIL 201,"State University",false,,,,,,,,,,
"Biology B.S.","Core Biology",simple,Fall,2025,true,"","","",,,,,,,,,,,
"Biology B.S.","Mathematics",simple,Fall,2025,true,"","","",,,,,,,,,,,
