program_name,category,credits_required,requirement_type,semester,year,is_current,group_name,courses_required,credits_required_group,course_option,institution,is_preferred,description,group_description,option_notes,
Biology B.S,English,6,simple,Fall,2025,TRUE,,,,ENGL 1157,University Of New Orleans,,,,,
Biology B.S,English,6,simple,Fall,2025,TRUE,,,,ENGL 1158,University Of New Orleans,,,,,
Biology B.S,English,6,simple,Fall,2025,TRUE,,,,ENGL 1159,University Of New Orleans,,,,,
Biology B.S,Mathematics,6,simple,Fall,2025,TRUE,,,,MATH 1125,University Of New Orleans,,,,,
Biology B.S,Mathematics,6,simple,Fall,2025,TRUE,,,,MATH 1126,University Of New Orleans,,,,,
Biology B.S,Science,9,simple,Fall,2025,TRUE,,,,BIOS 1083,University Of New Orleans,,,,,
Biology B.S,Science,9,simple,Fall,2025,TRUE,,,,BIOS 1073,University Of New Orleans,,,,,
Biology B.S,Science,9,simple,Fall,2025,TRUE,,,,CHEM 1017,University Of New Orleans,,,,,
Biology B.S,Humanities,9,simple,Fall,2025,TRUE,,,,ENGL 2041,University Of New Orleans,,,,,
Biology B.S,Humanities,9,simple,Fall,2025,TRUE,,,,ENGL 2043,University Of New Orleans,,,,,
Biology B.S,Humanities,9,simple,Fall,2025,TRUE,,,,ENGL 2071,University Of New Orleans,,,,,
Biology B.S,Humanities,9,simple,Fall,2025,TRUE,,,,ENGL 2072,University Of New Orleans,,,,,
Biology B.S,Humanities,9,simple,Fall,2025,TRUE,,,,ENGL 2090,University Of New Orleans,,,,,
Biology B.S,Humanities,9,simple,Fall,2025,TRUE,,,,ENGL 2091,University Of New Orleans,,,,,
Biology B.S,Humanities,9,simple,Fall,2025,TRUE,,,,ENGL 2208,University Of New Orleans,,,,,
Biology B.S,Humanities,9,simple,Fall,2025,TRUE,,,,ENGL 2218,University Of New Orleans,,,,,
Biology B.S,Humanities,9,simple,Fall,2025,TRUE,,,,ENGL 2228,University Of New Orleans,,,,,
Biology B.S,Humanities,9,simple,Fall,2025,TRUE,,,,ENGL 2238,University Of New Orleans,,,,,
Biology B.S,Humanities,9,simple,Fall,2025,TRUE,,,,ENGL 2311,University Of New Orleans,,,,,
Biology B.S,Humanities,9,simple,Fall,2025,TRUE,,,,ENGL 2312,University Of New Orleans,,,,,
Biology B.S,Humanities,9,simple,Fall,2025,TRUE,,,,ENGL 2341,University Of New Orleans,,,,,
