program_name,category,requirement_type,semester,year,is_current,group_name,course_code,institution,is_preferred,constraint_type,description,min_credits,max_credits,min_level,min_courses,max_courses,tag,tag_value,scope_subject_codes
Biology B.S,English,simple,Fall,2025,TRUE,,ENGL 1157,University Of New Orleans,,min_level_credits,At least 6 Credits,6,,,,,,,
Biology B.S,English,simple,Fall,2025,TRUE,,ENGL 1158,University Of New Orleans,,,,,,,,,,,
Biology B.S,English,simple,Fall,2025,TRUE,,ENGL 1159,University Of New Orleans,,,,,,,,,,,
Biology B.S,Mathematics,simple,Fall,2025,TRUE,,MATH 1125,University Of New Orleans,,min_level_credits,At least 6 Credits,6,,,,,,,
Biology B.S,Mathematics,simple,Fall,2025,TRUE,,MATH 1126,University Of New Orleans,,,,,,,,,,,
Biology B.S,Science,simple,Fall,2025,TRUE,,BIOS 1083,University Of New Orleans,,min_level_credits,At least 9 Credits,9,,,,,,,
Biology B.S,Science,simple,Fall,2025,TRUE,,BIOS 1073,University Of New Orleans,,,,,,,,,,,
Biology B.S,Science,simple,Fall,2025,TRUE,,CHEM 1017,University Of New Orleans,,,,,,,,,,,
Biology B.S,Humanities,simple,Fall,2025,TRUE,,ENGL 2041,University Of New Orleans,,min_level_credits,At least 9 Credits,9,,,,,,,
Biology B.S,Humanities,simple,Fall,2025,TRUE,,ENGL 2043,University Of New Orleans,,,,,,,,,,,
Biology B.S,Humanities,simple,Fall,2025,TRUE,,ENGL 2071,University Of New Orleans,,,,,,,,,,,
Biology B.S,Humanities,simple,Fall,2025,TRUE,,ENGL 2072,University Of New Orleans,,,,,,,,,,,
Biology B.S,Humanities,simple,Fall,2025,TRUE,,ENGL 2090,University Of New Orleans,,,,,,,,,,,
Biology B.S,Humanities,simple,Fall,2025,TRUE,,ENGL 2091,University Of New Orleans,,,,,,,,,,,
Biology B.S,Humanities,simple,Fall,2025,TRUE,,ENGL 2208,University Of New Orleans,,,,,,,,,,,
Biology B.S,Humanities,simple,Fall,2025,TRUE,,ENGL 2218,University Of New Orleans,,,,,,,,,,,
Biology B.S,Humanities,simple,Fall,2025,TRUE,,ENGL 2228,University Of New Orleans,,,,,,,,,,,
Biology B.S,Humanities,simple,Fall,2025,TRUE,,ENGL 2238,University Of New Orleans,,,,,,,,,,,
Biology B.S,Humanities,simple,Fall,2025,TRUE,,ENGL 2311,University Of New Orleans,,,,,,,,,,,
Biology B.S,Humanities,simple,Fall,2025,TRUE,,ENGL 2312,University Of New Orleans,,,,,,,,,,,
Biology B.S,Humanities,simple,Fall,2025,TRUE,,ENGL 2341,University Of New Orleans,,,,,,,,,,,
Biology B.S,Humanities,simple,Fall,2025,TRUE,,ENGL 2377,University Of New Orleans,,,,,,,,,,,
Biology B.S,Humanities,simple,Fall,2025,TRUE,,ENGL 2378,University Of New Orleans,,,,,,,,,,,
Biology B.S,Humanities,simple,Fall,2025,TRUE,,ENGL 2521,University Of New Orleans,,,,,,,,,,,
Biology B.S,Humanities,simple,Fall,2025,TRUE,,FTA 2650,University Of New Orleans,,,,,,,,,,,
Biology B.S,Humanities,simple,Fall,2025,TRUE,,FREN 1001,University Of New Orleans,,,,,,,,,,,
Biology B.S,Humanities,simple,Fall,2025,TRUE,,FREN 1002,University Of New Orleans,,,,,,,,,,,
Biology B.S,Humanities,simple,Fall,2025,TRUE,,GER 1001,University Of New Orleans,,,,,,,,,,,
Biology B.S,Humanities,simple,Fall,2025,TRUE,,GER 1002,University Of New Orleans,,,,,,,,,,,
Biology B.S,Humanities,simple,Fall,2025,TRUE,,HIST 1001,University Of New Orleans,,,,,,,,,,,
Biology B.S,Humanities,simple,Fall,2025,TRUE,,HIST 1002,University Of New Orleans,,,,,,,,,,,
Biology B.S,Humanities,simple,Fall,2025,TRUE,,HIST 2501,University Of New Orleans,,,,,,,,,,,
Biology B.S,Humanities,simple,Fall,2025,TRUE,,HIST 2502,University Of New Orleans,,,,,,,,,,,
Biology B.S,Humanities,simple,Fall,2025,TRUE,,JAPN 1001,University Of New Orleans,,,,,,,,,,,
Biology B.S,Humanities,simple,Fall,2025,TRUE,,JAPN 1002,University Of New Orleans,,,,,,,,,,,
Biology B.S,Humanities,simple,Fall,2025,TRUE,,LAT 1011,University Of New Orleans,,,,,,,,,,,
Biology B.S,Humanities,simple,Fall,2025,TRUE,,LAT 1012,University Of New Orleans,,,,,,,,,,,
Biology B.S,Humanities,simple,Fall,2025,TRUE,,PHIL 1000,University Of New Orleans,,,,,,,,,,,
Biology B.S,Humanities,simple,Fall,2025,TRUE,,PHIL 2201,University Of New Orleans,,,,,,,,,,,
Biology B.S,Humanities,simple,Fall,2025,TRUE,,SPAN 1001,University Of New Orleans,,,,,,,,,,,
Biology B.S,Humanities,simple,Fall,2025,TRUE,,SPAN 1002,University Of New Orleans,,,,,,,,,,,
Biology B.S,Humanities,simple,Fall,2025,TRUE,,WGS 2010,University Of New Orleans,,,,,,,,,,,
Biology B.S,Other Major Requirements,simple,Fall,2025,TRUE,,CHEM 1007,University Of New Orleans,,min_level_credits,At least 11 Credits,11,,,,,,,
Biology B.S,Other Major Requirements,simple,Fall,2025,TRUE,,CHEM 1008,University Of New Orleans,,,,,,,,,,,
Biology B.S,Other Major Requirements,simple,Fall,2025,TRUE,,CHEM 1018,University Of New Orleans,,,,,,,,,,,
Biology B.S,Other Major Requirements,simple,Fall,2025,TRUE,,CHEM 2217,University Of New Orleans,,,,,,,,,,,
Biology B.S,Other Major Requirements,simple,Fall,2025,TRUE,,CHEM 3218,University Of New Orleans,,,,,,,,,,,
Biology B.S,Other Major Requirements,simple,Fall,2025,TRUE,,MATH 2314,University Of New Orleans,,,,,,,,,,,
Biology B.S,Physics,simple,Fall,2025,TRUE,,PHYS 1031,University Of New Orleans,,min_level_credits,At least 8 Credits,8,,,,,,,
Biology B.S,Physics,simple,Fall,2025,TRUE,,PHYS 1033,University Of New Orleans,,,,,,,,,,,
Biology B.S,Physics,simple,Fall,2025,TRUE,,PHYS 1032,University Of New Orleans,,,,,,,,,,,
Biology B.S,Physics,simple,Fall,2025,TRUE,,PHYS 1034,University Of New Orleans,,,,,,,,,,,
Biology B.S,Social Sciences,simple,Fall,2025,TRUE,,ANTH 1010,University Of New Orleans,,min_level_credits,At least 6 Credits,6,,,,,,,
Biology B.S,Social Sciences,simple,Fall,2025,TRUE,,ANTH 2052,University Of New Orleans,,,,,,,,,,,
Biology B.S,Social Sciences,simple,Fall,2025,TRUE,,ECON 1203,University Of New Orleans,,,,,,,,,,,
Biology B.S,Social Sciences,simple,Fall,2025,TRUE,,ECON 1330,University Of New Orleans,,,,,,,,,,,
Biology B.S,Social Sciences,simple,Fall,2025,TRUE,,GEOG 10001,University Of New Orleans,,,,,,,,,,,
Biology B.S,Social Sciences,simple,Fall,2025,TRUE,,GEOG 1002,University Of New Orleans,,,,,,,,,,,
Biology B.S,Social Sciences,simple,Fall,2025,TRUE,,POLI 2151,University Of New Orleans,,,,,,,,,,,
Biology B.S,Social Sciences,simple,Fall,2025,TRUE,,PSYC 1000,University Of New Orleans,,,,,,,,,,,
Biology B.S,Social Sciences,simple,Fall,2025,TRUE,,SOC 1051,University Of New Orleans,,,,,,,,,,,
Biology B.S,Social Sciences,simple,Fall,2025,TRUE,,SOC 2962,University Of New Orleans,,,,,,,,,,,
Biology B.S,Social Sciences,simple,Fall,2025,TRUE,,URBN 1000,University Of New Orleans,,,,,,,,,,,
Biology B.S,Arts,simple,Fall,2025,TRUE,,FA 1010,University Of New Orleans,,min_level_credits,At least 3 Credits,3,,,,,,,
Biology B.S,Core Major Requirements,grouped,Fall,2025,TRUE,Major Required Courses,BIOS 1071,University Of New Orleans,,,,,,,,,,,
Biology B.S,Core Major Requirements,grouped,Fall,2025,TRUE,Major Required Courses,BIOS 1081,University Of New Orleans,,,,,,,,,,,
Biology B.S,Core Major Requirements,grouped,Fall,2025,TRUE,Major Required Courses,BIOS 2014,University Of New Orleans,,,,,,,,,,,
Biology B.S,Core Major Requirements,grouped,Fall,2025,TRUE,Major Required Courses,BIOS 2114,University Of New Orleans,,,,,,,,,,,
Biology B.S,Core Major Requirements,grouped,Fall,2025,TRUE,Major Required Courses,BIOS 4010,University Of New Orleans,,,,,,,,,,,
Biology B.S,Core Major Requirements,grouped,Fall,2025,TRUE,Biology Electives,BIOS 3113,University Of New Orleans,,,,,,,,,,,
Biology B.S,Core Major Requirements,grouped,Fall,2025,TRUE,Biology Electives,BIOS 3284,University Of New Orleans,,,,,,,,,,,
Biology B.S,Core Major Requirements,grouped,Fall,2025,TRUE,Biology Electives,BIOS 3373,University Of New Orleans,,,,,,,,,,,
Biology B.S,Core Major Requirements,grouped,Fall,2025,TRUE,Biology Electives,BIOS 3354,University Of New Orleans,,,,,,,,,,,
Biology B.S,Core Major Requirements,grouped,Fall,2025,TRUE,Biology Electives,BIOS 3453,University Of New Orleans,,,,,,,,,,,
Biology B.S,Core Major Requirements,grouped,Fall,2025,TRUE,Biology Electives,BIOS 3490,University Of New Orleans,,,,,,,,,,,
Biology B.S,Core Major Requirements,grouped,Fall,2025,TRUE,Biology Electives,BIOS 3491,University Of New Orleans,,,,,,,,,,,
Biology B.S,Core Major Requirements,grouped,Fall,2025,TRUE,Biology Electives,BIOS 3492,University Of New Orleans,,,,,,,,,,,
Biology B.S,Core Major Requirements,grouped,Fall,2025,TRUE,Biology Electives,BIOS 3493,University Of New Orleans,,,,,,,,,,,
Biology B.S,Core Major Requirements,grouped,Fall,2025,TRUE,Biology Electives,BIOS 3494,University Of New Orleans,,,,,,,,,,,
Biology B.S,Core Major Requirements,grouped,Fall,2025,TRUE,Biology Electives,BIOS 3495,University Of New Orleans,,,,,,,,,,,
Biology B.S,Core Major Requirements,grouped,Fall,2025,TRUE,Biology Electives,BIOS 3496,University Of New Orleans,,,,,,,,,,,
Biology B.S,Core Major Requirements,grouped,Fall,2025,TRUE,Biology Electives,BIOS 3497,University Of New Orleans,,,,,,,,,,,
Biology B.S,Core Major Requirements,grouped,Fall,2025,TRUE,Biology Electives,BIOS 3498,University Of New Orleans,,,,,,,,,,,
Biology B.S,Core Major Requirements,grouped,Fall,2025,TRUE,Biology Electives,BIOS 3499,University Of New Orleans,,,,,,,,,,,
Biology B.S,Core Major Requirements,grouped,Fall,2025,TRUE,Biology Electives,BIOS 3500,University Of New Orleans,,,,,,,,,,,
Biology B.S,Core Major Requirements,grouped,Fall,2025,TRUE,Biology Electives,BIOS 3501,University Of New Orleans,,,,,,,,,,,
Biology B.S,Core Major Requirements,grouped,Fall,2025,TRUE,Biology Electives,BIOS 3502,University Of New Orleans,,,,,,,,,,,
Biology B.S,Core Major Requirements,grouped,Fall,2025,TRUE,Biology Electives,BIOS 3503,University Of New Orleans,,,,,,,,,,,
Biology B.S,Core Major Requirements,grouped,Fall,2025,TRUE,Biology Electives,BIOS 3504,University Of New Orleans,,,,,,,,,,,
Biology B.S,Core Major Requirements,grouped,Fall,2025,TRUE,Biology Electives,BIOS 3505,University Of New Orleans,,,,,,,,,,,
Biology B.S,Core Major Requirements,grouped,Fall,2025,TRUE,Biology Electives,BIOS 3506,University Of New Orleans,,,,,,,,,,,
Biology B.S,Core Major Requirements,grouped,Fall,2025,TRUE,Biology Electives,BIOS 3507,University Of New Orleans,,,,,,,,,,,
Biology B.S,Core Major Requirements,grouped,Fall,2025,TRUE,Biology Electives,BIOS 3508,University Of New Orleans,,,,,,,,,,,
Biology B.S,Core Major Requirements,grouped,Fall,2025,TRUE,Biology Electives,BIOS 3509,University Of New Orleans,,,,,,,,,,,
Biology B.S,Core Major Requirements,grouped,Fall,2025,TRUE,Biology Electives,BIOS 3510,University Of New Orleans,,,,,,,,,,,
Biology B.S,Core Major Requirements,grouped,Fall,2025,TRUE,Biology Electives,BIOS 3511,University Of New Orleans,,,,,,,,,,,
Biology B.S,Core Major Requirements,grouped,Fall,2025,TRUE,Biology Electives,BIOS 3512,University Of New Orleans,,,,,,,,,,,
Biology B.S,Core Major Requirements,grouped,Fall,2025,TRUE,Biology Electives,BIOS 3513,University Of New Orleans,,,,,,,,,,,
Biology B.S,Core Major Requirements,grouped,Fall,2025,TRUE,Biology Electives,BIOS 3514,University Of New Orleans,,,,,,,,,,,
Biology B.S,Core Major Requirements,grouped,Fall,2025,TRUE,Biology Electives,BIOS 3515,University Of New Orleans,,,,,,,,,,,
Biology B.S,Core Major Requirements,grouped,Fall,2025,TRUE,Biology Electives,BIOS 3516,University Of New Orleans,,,,,,,,,,,
Biology B.S,Core Major Requirements,grouped,Fall,2025,TRUE,Biology Electives,BIOS 3517,University Of New Orleans,,,,,,,,,,,
Biology B.S,Core Major Requirements,grouped,Fall,2025,TRUE,Biology Electives,BIOS 3518,University Of New Orleans,,,,,,,,,,,
Biology B.S,Core Major Requirements,grouped,Fall,2025,TRUE,Biology Lab,BIOS 2741,University Of New Orleans,,,,,,,,,,,
Biology B.S,Core Major Requirements,grouped,Fall,2025,TRUE,Biology Lab,BIOS 3354,University Of New Orleans,,,,,,,,,,,
Biology B.S,Core Major Requirements,grouped,Fall,2025,TRUE,Biology Lab,BIOS 3651,University Of New Orleans,,,,,,,,,,,
Biology B.S,Core Major Requirements,grouped,Fall,2025,TRUE,Biology Lab,BIOS 3653,University Of New Orleans,,,,,,,,,,,
Biology B.S,Core Major Requirements,grouped,Fall,2025,TRUE,Biology Lab,BIOS 3854,University Of New Orleans,,,,,,,,,,,
Biology B.S,Core Major Requirements,grouped,Fall,2025,TRUE,Biology Lab,BIOS 3924,University Of New Orleans,,,,,,,,,,,
Biology B.S,Core Major Requirements,grouped,Fall,2025,TRUE,Biology Lab,BIOS 4114,University Of New Orleans,,,,,,,,,,,
Biology B.S,Core Major Requirements,grouped,Fall,2025,TRUE,Biology Lab,BIOS 4314,University Of New Orleans,,,,,,,,,,,
Biology B.S,Core Major Requirements,grouped,Fall,2025,TRUE,Biology Lab,BIOS 4454,University Of New Orleans,,,,,,,,,,,
