from_course_code,from_institution,to_course_code,to_institution,equivalency_type,notes,approved_by
ENGL 101,Delgado Community College,ENGL 1157,University Of New Orleans,direct,,
ENGL 102,Delgado Community College,ENGL 1158,University Of New Orleans,direct,,
ENGL 110,Delgado Community College,ENGL 1157,University Of New Orleans,direct,,
MATH 130,Delgado Community College,MATH 1125,University Of New Orleans,direct,,
MATH 131,Delgado Community College,MATH 1126,University Of New Orleans,direct,,
MATH 203,Delgado Community College,MATH 2314,University Of New Orleans,direct,,
MATH 203,Delgado Community College,MATH 2785,University Of New Orleans,direct,,
MATH 221,Delgado Community College,MATH 2114,University Of New Orleans,direct,,
FNAR 121,Delgado Community College,FA 1000NE,University Of New Orleans,direct,,
FNAR 125,Delgado Community College,FA 2000NE,University Of New Orleans,direct,,
FNAR 126,Delgado Community College,FA 2000NE,University Of New Orleans,direct,,
FNAR 127,Delgado Community College,FA 2000NE,University Of New Orleans,direct,,
FNAR 158,Delgado Community College,FA 1000NE,University Of New Orleans,,,
MUSC 105,Delgado Community College,MUS 1000,University Of New Orleans,direct,,
MUSC 108,Delgado Community College,MUSC 1000NE,University Of New Orleans,,,
MUSC 137,Delgado Community College,MUS 1003,University Of New Orleans,direct,,
THEA 101,Delgado Community College,FTA 1000,University Of New Orleans,direct,,
THEA 207,Delgado Community College,FTCA 2000NE ,University Of New Orleans,,,
THEA 209,Delgado Community College,FTCA 2000NE ,University Of New Orleans,,,
ENGL 205,Delgado Community College,ENGL 2238,University Of New Orleans,direct,,
ENGL 206,Delgado Community College,ENGL 2208,University Of New Orleans,direct,,
ENGL 206,Delgado Community College,ENGL 2228,University Of New Orleans,direct,,
ENGL 211,Delgado Community College,ENGL 2031 ,University Of New Orleans,direct,,
ENGL 212,Delgado Community College,ENGL 2032,University Of New Orleans,direct,,
ENGL 221,Delgado Community College,ENGL 2341,University Of New Orleans,direct,,
ENGL 222,Delgado Community College,ENGL 2342,University Of New Orleans,direct,,
ENGL 231,Delgado Community College,ENGL 2000NE,University Of New Orleans,direct,,
ENGL 232,Delgado Community College,GHUM 1000 ,University Of New Orleans,direct,,
ENGL 243,Delgado Community College,ENGL 2000NE,University Of New Orleans,,,
ENGL 244,Delgado Community College,ENGL 2071,University Of New Orleans,direct,,
ENGL 244,Delgado Community College,ENGL 2072,University Of New Orleans,direct,,
ENGL 253,Delgado Community College,ENGL 2377,University Of New Orleans,direct,,
ARCH 180,Delgado Community College,ARCH 1000NE,University Of New Orleans,,,
ASLS 101,Delgado Community College,EDSP 1001,University Of New Orleans,direct,,
CMST 130,Delgado Community College,GHUM 1000,University Of New Orleans,direct,,
CMST 230,Delgado Community College,FTA 2650,University Of New Orleans,direct,,
ENGL 207,Delgado Community College,GHUM 1000,University Of New Orleans,direct,,
ENGL 211,Delgado Community College,ENGL 2031 ,University Of New Orleans,direct,,
ENGL 212,Delgado Community College,ENGL 2032,University Of New Orleans,direct,,
ENGL 221,Delgado Community College,ENGL 2341,University Of New Orleans,direct,,
ENGL 222,Delgado Community College,ENGL 2342,University Of New Orleans,direct,,
ENGL 235,Delgado Community College,GHUM 1000,University Of New Orleans,direct,,
ENGL 240,Delgado Community College,ENGL 2000NE,University Of New Orleans,direct,,
ENGL 241,Delgado Community College,ENGL 2000NE,University Of New Orleans,direct,,
ENGL 243,Delgado Community College,ENGL 2000NE,University Of New Orleans,,,
ENGL 244,Delgado Community College,ENGL 2071,University Of New Orleans,direct,,
ENGL 245,Delgado Community College,ENGL 2378,University Of New Orleans,direct,,
ENGL 253,Delgado Community College,"ENGL 2377",University Of New Orleans,direct,,
FREN 101,Delgado Community College,FREN 1001,University Of New Orleans,direct,,
FREN 102,Delgado Community College,FREN 1002,University Of New Orleans,direct,,
FREN 125,Delgado Community College,FREN 1000NE,University Of New Orleans,,,
FREN 201,Delgado Community College,FREN 2001,University Of New Orleans,direct,,
FREN 202,Delgado Community College,FREN 2002,University Of New Orleans,direct,,
FREN 225,Delgado Community College,FREN 2000NE,University Of New Orleans,,,
HIST 101,Delgado Community College,GHUM 1000,University Of New Orleans,direct,,
HIST 102,Delgado Community College,GHUM 1000,University Of New Orleans,direct,,
HIST 103,Delgado Community College,HIST 1001,University Of New Orleans,direct,,
HIST 105,Delgado Community College,HIST 1002,University Of New Orleans,direct,,
HIST 141,Delgado Community College,HIST 1010,University Of New Orleans,direct,,
HIST 205,Delgado Community College,HIST 2501,University Of New Orleans,direct,,
HIST 206,Delgado Community College,HIST 2502,University Of New Orleans,direct,,
HIST 240,Delgado Community College,HIST 2000NE,University Of New Orleans,,,
HIST 241,Delgado Community College,HIST 2000NE,University Of New Orleans,,,
HIST 242,Delgado Community College,HIST 1000NE,University Of New Orleans,,,
HIST 260,Delgado Community College,HIST 2601,University Of New Orleans,direct,,
HUMA 105,Delgado Community College,FA 1000NE,University Of New Orleans,,,
HUMA 150,Delgado Community College,AandS 1119,University Of New Orleans,direct,,
