program_name,category,credits_required,requirement_type,semester,year,is_curent,group_name,courses_required,credits_required_group,course_option,institution,is_preferred,description,group_description,option_notes,
BS Biological Sciences,English Composition,6,grouped,Fall,2025,TRUE,Composition Foundation,2,6,ENGL 1157,University of New Orleans,TRUE,Written communication requirement,Complete 2 composition courses,University composition sequence,
BS Biological Sciences,English Composition,6,grouped,Fall,2025,TRUE,Composition Foundation,2,6,ENGL 1158,University of New Orleans,TRUE,Written communication requirement,Complete 2 composition courses,Advanced composition,
BS Biological Sciences,Mathematics,12,grouped,Fall,2025,TRUE,Calculus Sequence,2,8,MATH 2114,University of New Orleans,TRUE,Mathematical foundation for sciences,Complete calculus sequence,Calculus II required,
BS Biological Sciences,Mathematics,12,grouped,Fall,2025,TRUE,Calculus Sequence,2,8,MATH 2314,University of New Orleans,TRUE,Mathematical foundation for sciences,Complete calculus sequence,Calculus III recommended,
BS Biological Sciences,Mathematics,12,grouped,Fall,2025,TRUE,Additional Math,1,4,MATH 2785,University of New Orleans,FALSE,Mathematical foundation for sciences,Choose 1 additional math course,Differential equations,
BS Biological Sciences,Core Biology,24,grouped,Fall,2025,TRUE,General Biology,2,6,BIOS 1073,University of New Orleans,TRUE,Foundation biology sequence,Complete general biology with labs,General Biology I,
BS Biological Sciences,Core Biology,24,grouped,Fall,2025,TRUE,General Biology,2,6,BIOS 1083,University of New Orleans,TRUE,Foundation biology sequence,Complete general biology with labs,General Biology II,
BS Biological Sciences,Core Biology,24,grouped,Fall,2025,TRUE,General Biology,2,2,BIOS 1071,University of New Orleans,TRUE,Foundation biology sequence,Complete general biology with labs,Lab component I,
BS Biological Sciences,Core Biology,24,grouped,Fall,2025,TRUE,General Biology,2,2,BIOS 1081,University of New Orleans,TRUE,Foundation biology sequence,Complete general biology with labs,Lab component II,
BS Biological Sciences,Core Biology,24,grouped,Fall,2025,TRUE,Advanced Biology,2,8,BIOS 2114,University of New Orleans,TRUE,Foundation biology sequence,Choose 2 advanced biology courses,Genetics required,
BS Biological Sciences,Core Biology,24,grouped,Fall,2025,TRUE,Advanced Biology,2,8,BIOS 2313,University of New Orleans,FALSE,Foundation biology sequence,Choose 2 advanced biology courses,Plant Biology option,
BS Biological Sciences,Core Biology,24,grouped,Fall,2025,TRUE,Advanced Biology,2,8,BIOS 2741,University of New Orleans,FALSE,Foundation biology sequence,Choose 2 advanced biology courses,Human A&P I option,
BS Biological Sciences,Core Biology,24,grouped,Fall,2025,TRUE,Advanced Biology,2,8,BIOS 2743,University of New Orleans,FALSE,Foundation biology sequence,Choose 2 advanced biology courses,Human A&P II option,
BS Biological Sciences,Core Biology,24,grouped,Fall,2025,TRUE,Elective Biology,1,4,BIOS 1303,University of New Orleans,FALSE,Foundation biology sequence,Choose 1 elective biology,Environmental Biology,
BS Biological Sciences,Core Biology,24,grouped,Fall,2025,TRUE,Elective Biology,1,4,BIOS 1313,University of New Orleans,FALSE,Foundation biology sequence,Choose 1 elective biology,Human Biology,
BS Biological Sciences,Chemistry,16,grouped,Fall,2025,TRUE,General Chemistry,2,8,CHEM 1017,University of New Orleans,TRUE,Chemistry foundation for biology,Complete general chemistry sequence,General Chemistry I required,
BS Biological Sciences,Chemistry,16,grouped,Fall,2025,TRUE,General Chemistry,2,8,CHEM 1018,University of New Orleans,TRUE,Chemistry foundation for biology,Complete general chemistry sequence,General Chemistry II required,
BS Biological Sciences,Chemistry,16,grouped,Fall,2025,TRUE,General Chemistry,1,1,CHEM 1008,University of New Orleans,TRUE,Chemistry foundation for biology,Complete general chemistry sequence,Lab component required,
BS Biological Sciences,Chemistry,16,grouped,Fall,2025,TRUE,Organic Chemistry,2,7,CHEM 2017,University of New Orleans,TRUE,Chemistry foundation for biology,Complete organic chemistry sequence,Organic Chemistry I required,
BS Biological Sciences,Chemistry,16,grouped,Fall,2025,TRUE,Organic Chemistry,2,7,CHEM 2217,University of New Orleans,FALSE,Chemistry foundation for biology,Complete organic chemistry sequence,Organic Chemistry II recommended,
BS Biological Sciences,Physics,8,grouped,Fall,2025,TRUE,Physics Sequence,2,8,PHYS 1031,University of New Orleans,TRUE,Physics foundation for sciences,Complete physics sequence,General Physics I,
BS Biological Sciences,Physics,8,grouped,Fall,2025,TRUE,Physics Sequence,2,8,PHYS 1032,University of New Orleans,TRUE,Physics foundation for sciences,Complete physics sequence,General Physics II,
BS Biological Sciences,Physics,8,grouped,Fall,2025,TRUE,Advanced Physics,2,8,PHYS 1061,University of New Orleans,FALSE,Physics foundation for sciences,Alternative calculus-based sequence,Physics for Scientists I,
BS Biological Sciences,Physics,8,grouped,Fall,2025,TRUE,Advanced Physics,2,8,PHYS 1062,University of New Orleans,FALSE,Physics foundation for sciences,Alternative calculus-based sequence,Physics for Scientists II,
BS Biological Sciences,Humanities,9,grouped,Fall,2025,TRUE,Literature & Arts,2,6,ENGL 211,University of New Orleans,FALSE,Liberal arts breadth requirement,Choose 2 from literature and arts,American Literature I,
